"O mesmo sujeito é i…"",Tue Jun 08 14:40:54 +0000 2021,201";;
"1402274442558984195,""@sigalib Se essa moda pega... se bem que aqui, o Adélio foi log de faca na mão. O Bolsonaro precisa se ligar mais n… https://t.co/GYajMvf3AC"",Tue Jun 08 14:40:54 +0000 2021,0";;
"1402274441824985103,""RT @desmentindobozo: A mentira sobre o relatório do TCU em 7 atos:";;
;;
#NOME?;;
#NOME?;;
"- Porta…"",Tue Jun 08 14:40:54 +0000 2021,1439";;
"1402274441606926343,""RT @reinaldoazevedo: Crivella em embaixada seria do interesse de Macedo e Bolsonaro, não do Brasil https://t.co/OFvaUYKBeu via @UOLNoticias…"",Tue Jun 08 14:40:54 +0000 2021,88";;
"1402274439274938378,""RT @desmentindobozo: O Foco do Brasil cortou o trecho do vídeo original mas diversos deputados bolsonaristas, incluindo o filho do presiden…"",Tue Jun 08 14:40:53 +0000 2021,419";;
"1402274438205280263,""RT @Boscardin: “A PF apontou que as contas derrubadas foram acessadas de endereços ligados a Jair Bolsonaro, como o Palácio do Planalto, se…"",Tue Jun 08 14:40:53 +0000 2021,78";;
"1402274437655928832,""RT @Rconstantino: Dirceu é calculista, não faz bravatas, mas sim ameaças concretas. Quem quer que fique indiferente entre Lula e Bolsonaro…"",Tue Jun 08 14:40:53 +0000 2021,1776";;
1402274436426907658,O Bolsonaro falsificando a tabela da TCU sou eu falsificando assinatura da minha mãe em bilhete da escola. Cai em 24h.,Tue Jun 08 14:40:53 +0000 2021,0;;
1402274435760070666,@Flordelotus2021 Nenhum outro presidente consegue se passar por Bolsonaro. É bolacha na lata!,Tue Jun 08 14:40:53 +0000 2021,0;;
1402274435546202118,RT @bolsonaroverso: o joelho da mina parece o bolsonaro https://t.co/21E2rAlrQh,Tue Jun 08 14:40:53 +0000 2021,2728;;
"1402274434178813955,""RT @choquei: 🚨AGORA: Bolsonaro diz que o PT plantaria maconha no Alvorada, caso Lula volte ao Poder."",Tue Jun 08 14:40:52 +0000 2021,22";;
"1402274433704894483,""RT @PTnoSenado: A #CPIdaCovid vai interrogar novamente o ministro da Saúde, Marcelo Queiro.Os senadores querem avançar na investigação sobr…"",Tue Jun 08 14:40:52 +0000 2021,7";;
"1402274433490898955,""RT @reinaldoazevedo: convenham: no Brasil também, como deve se lembrar o PT antes da crise que resultou no impeachment da presidente Dilma.…"",Tue Jun 08 14:40:52 +0000 2021,18";;
"1402274433306333187,""RT @JornalDaCidadeO: Quando a hipocrisia começa a ser castigada...";;
;;
"https://t.co/7drLIyzMdz"",Tue Jun 08 14:40:52 +0000 2021,17";;
"1402274433130242050,""RT @EnockFormiga: Quando é para pedir investigação política sobre Bolsonaro, o STF se torna um tigrão. Na hora de apurar se o próprio minis…"",Tue Jun 08 14:40:52 +0000 2021,100";;
"1402274433088344078,""RT @marceltsoares: BOMBA: CPI da Covid descobre esquema de corrupção do governo Bolsonaro envolvendo a cloroquina.";;
"#ImpeachmentDeBolsonaroU…"",Tue Jun 08 14:40:52 +0000 2021,19";;
1402274431335010316,RT @Bolsonariana11: Macron quis ver se está popular como Bolsonaro...kkkkkkkkkkkkk https://t.co/FlZa9JbKRa,Tue Jun 08 14:40:52 +0000 2021,25;;
1402274430999465985,RT @bolazimbra: jair bolsonaro é o maior cabo eleitoral do lula,Tue Jun 08 14:40:52 +0000 2021,6;;
"1402274430953340929,""RT @leandroruschel: Segundo a extrema-imprensa, o risco da implementação de um regime autoritário é dado por Bolsonaro, enquanto Zé Dirceu,…"",Tue Jun 08 14:40:51 +0000 2021,369";;
"1402274430785658885,""@allandospanos A água ta batento na bunda e o desespero está claro, esse papo de se não votar no Bolsonaro o PT vol… https://t.co/MhPWaBHj6J"",Tue Jun 08 14:40:51 +0000 2021,0";;
"1402274430403948560,""RT @Flordelotus2021: Macron foi testar sua popularidade, igual Bolsonaro faz ... Só que .... Foi mal !!! 🤣 https://t.co/mr6mGuqm8y"",Tue Jun 08 14:40:51 +0000 2021,72";;
1402274429279870977,RT @Rconstantino: Quando um típico tucano resolve sair da bolha e testar sua real popularidade como se fosse um Bolsonaro da vida...,Tue Jun 08 14:40:51 +0000 2021,160;;
"1402274429007282178,""RT @Metropoles: Em ligação com Frederick Wassef, Bolsonaro diz: “não é fácil ser presidente”.";;
;;
"Advogado que abrigou Fabrício Queiroz exibiu…"",Tue Jun 08 14:40:51 +0000 2021,411";;
"1402274428889841666,""RT @BlogdoNoblat: Bolsonaro mostrou 'desdém com a morte', diz filha de vítima da covid citada em 'live' do presidente";;
;;
"Durante live em 03/2…"",Tue Jun 08 14:40:51 +0000 2021,31";;
"1402274428189396992,""RT @binerighetti: Quem crítica Salles, mas é complacente com Bolsonaro não defende nenhuma causa ambiental. #RodaViva"",Tue Jun 08 14:40:51 +0000 2021,162";;
"1402274425240752138,""RT @o_antagonista: Marcelo Queiroga disse na CPI da Covid que, como médico, sempre recomenda às pessoas manter as medidas de segurança sani…"",Tue Jun 08 14:40:50 +0000 2021,3";;
1402274424502591493,RT @aslanlyn: sem meme se algum jumento vier falar pra mim que vai votar no bolsonaro na próxima eleição eu meto um socão na boca to faland…,Tue Jun 08 14:40:50 +0000 2021,19;;
"1402274423424626689,""Pois é!";;
"Estamos cientes de que \""se\"" o voto auditável não passar na Câmara... a reeleição de Bolsonaro estará 'ainda… https://t.co/gPgrUKftve"",Tue Jun 08 14:40:50 +0000 2021,0";;
1402274423420375050,@JoaoPaulo1010x @CogLinus Isso é uma grande verdade! Vamos previnir do que remediar… sabe-se lá quem vira depois do Bolsonaro/22…,Tue Jun 08 14:40:50 +0000 2021,0;;
1402274422363459598,RT @Jambock67: TV de Portugal mostra a verdade e enaltece atos pró-Bolsonaro em 1º de maio; VEJA VÍDEO https://t.co/uEKXBbgIUD via @TerraBr…,Tue Jun 08 14:40:49 +0000 2021,985;
"1402274420954124302,""@jandira_feghali Boa semana pra vc também.";;
"Mas o q habita em mim aqui é um sonoro fora vc jandira feghali,porque vc… https://t.co/2PftzCJp5U"",Tue Jun 08 14:40:49 +0000 2021,0";;
1402274416936030209,pare de fazer propaganda pro-petismo bolsonaro eu insisto https://t.co/semUqhHQDn,Tue Jun 08 14:40:48 +0000 2021,0;;
"1402274416873115649,""RT @Rconstantino: Dirceu é calculista, não faz bravatas, mas sim ameaças concretas. Quem quer que fique indiferente entre Lula e Bolsonaro…"",Tue Jun 08 14:40:48 +0000 2021,1776";;
1402274416160083973,RT @MonicaWaldvogel: Presidente da CPI @OmarAzizSenador tem toda razão. Fizeram do Amazonas de cobaia em experimentos sem os fundamentos ci…,Tue Jun 08 14:40:48 +0000 2021,68;;
"1402274415698665482,""RT @KennedyAlencar: Renan Calheiros tá indo muito bem. Queiroga já confessou que, no que depender dele, Bolsonaro continuará a tocar o terr…"",Tue Jun 08 14:40:48 +0000 2021,150";;
"1402274415367311372,""RT @essediafoilouco: Se Jair Bolsonaro nunca conspurcou o manto do seu time, você é sim um torcedor privilegiado."",Tue Jun 08 14:40:48 +0000 2021,85";;
"1402274414692077574,""@JoyceBa11489028 Verdade! É incrível como tudo que tem contato com Bolsonaro se deturpa, se transforma em algo noje… https://t.co/Bcar6NDeEs"",Tue Jun 08 14:40:48 +0000 2021,0";;
1402274413827985410,RT @ApibOficial: Urgente! Bolsonaro e ruralistas querem aprovar na Câmara projeto que permite anular terras indígenas! Não passarão! #PL490…,Tue Jun 08 14:40:47 +0000 2021,25;;
1402274412448129024,Nesse ensaio com @fernanda_moura apresentamos em detalhes as articulações governistas que resultam na iminente vota… https://t.co/Pmymg8KPg7,Tue Jun 08 14:40:47 +0000 2021,0;;
"1402274412129357825,""RT @Rconstantino: Não adianta: a oposição não quer aceitar que o presidente é o chefe do ministro, e não o contrário. É que o presidente é…"",Tue Jun 08 14:40:47 +0000 2021,245";;
"1402274411454083072,""RT @dariojjunior: O tal relatório do TCU foi assinado pela Minª ANA ARRAES (Vice-pres. no exercício da Presidência), pelo Min. BENJAMIN ZYM…"",Tue Jun 08 14:40:47 +0000 2021,258";;
"1402274409872773124,""RT @KimKataguiri: TRAIDORES: Bolsonaro e Guedes abandonam oficialmente reformas tributária e administrativa";;
"▶️ https://t.co/StFp8Ss3GK http…"",Tue Jun 08 14:40:46 +0000 2021,45";;
"1402274408929112064,""RT @UOLNoticias: 'Previsão é de 100 mil motos', diz Bolsonaro sobre passeio em SP https://t.co/7djO3V74fU"",Tue Jun 08 14:40:46 +0000 2021,192";;
1402274408509710342,Conheço vários eleitores do Bolsonaro que certamente adorariam que ele plantasse maconha no Alvorada mas que aponta… https://t.co/SGxesil73q,Tue Jun 08 14:40:46 +0000 2021,1;;
"1402274407578472452,""RT @desmentindobozo: A mentira sobre o relatório do TCU em 7 atos:";;
;;
#NOME?;;
#NOME?;;
"- Porta…"",Tue Jun 08 14:40:46 +0000 2021,1440";;
"1402274406773280780,""RT @Rconstantino: Não adianta: a oposição não quer aceitar que o presidente é o chefe do ministro, e não o contrário. É que o presidente é…"",Tue Jun 08 14:40:46 +0000 2021,245";;
"1402274406366384143,""RT @Thayna_lmf: Achei lindo a forma em que os petistas tão tentando provar que o Bolsonaro não é traidor.. Afinal, querem derrubar o Bolson…"",Tue Jun 08 14:40:46 +0000 2021,13";;
"1402274406290833412,""RT @PTnoSenado: A #CPIdaCovid vai interrogar novamente o ministro da Saúde, Marcelo Queiro.Os senadores querem avançar na investigação sobr…"",Tue Jun 08 14:40:46 +0000 2021,7";;
1402274406190227464,RT @BlogdoNoblat: Polícia Federal liga Michelle Bolsonaro e 'gabinete do ódio' a contas falsas do Facebook (uol),Tue Jun 08 14:40:46 +0000 2021,178;;
"1402274405451980805,""RT @randolfeap: As suspeitas de corrupção envolvendo Salles já beiram o absurdo, um deboche com a cara do povo brasileiro. Um antiministro…"",Tue Jun 08 14:40:45 +0000 2021,109";;
"1402274403866525696,""RT @PTnoSenado: Ministro Saúde, Marcelo Queiroga, revela à #CPIdaCovid que Bolsonaro costuma usar máscara nos encontros entre eles. Mais um…"",Tue Jun 08 14:40:45 +0000 2021,21";;
1402274403862339587,RT @o_antagonista: Doria e Bolsonaro disputam prêmio de pior marketing eleitoral. https://t.co/xKw79LASK3,Tue Jun 08 14:40:45 +0000 2021,5;;
1402274402943836167,RT @UOLNoticias: PF vincula primeira-dama e gabinete do ódio com contas inautênticas https://t.co/nMxPe6uWvn,Tue Jun 08 14:40:45 +0000 2021,180;;
"1402274399508647954,""RT @zfabrogmailcom: URGENTE! Presidente Jair Bolsonaro diz que errou e faz esclarecimento, R... https://t.co/bL1C9lcSwR via @YouTube"",Tue Jun 08 14:40:44 +0000 2021,20";;
1402274397885456385,e lá vem o bolsonaro inventando qualquer coisa para conseguir seu público conservador,Tue Jun 08 14:40:44 +0000 2021,0;;
"1402274396459474948,""RT @OliverStuenkel: Como se não bastasse o negacionismo climático, a postura anticientífica e o fato de termos uma das piores estratégias e…"",Tue Jun 08 14:40:43 +0000 2021,2";;
1402274395565985809,RT @jose_simao: “Bolsonaro indica Crivella para embaixador na África do Sul”. Vai ser engolido por um leão da Universal!,Tue Jun 08 14:40:43 +0000 2021,397;;
"1402274395075264520,""RT @OliverStuenkel: A martelada do comandante do Exército cede à pressão do presidente, reforçando a percepção cada vez+ dominante de q as…"",Tue Jun 08 14:40:43 +0000 2021,1";;
"1402274394848776199,""RT @desmentindobozo: A mentira sobre o relatório do TCU em 7 atos:";;
;;
#NOME?;;
#NOME?;;
"- Porta…"",Tue Jun 08 14:40:43 +0000 2021,1440";;
"1402274393703714826,""RT @brasil247: “Se PT voltar, vai ter plantação de maconha no Alvorada”, diz Bolsonaro https://t.co/F6hhyArvrc"",Tue Jun 08 14:40:43 +0000 2021,9";;
"1402274393238147073,""@sahelena aquele vídeo do bolsonaro traidor q viralizou ontem e subiu a hashtag, fazendo os bolso-robôs subirem outra tag pra contrapor..."",Tue Jun 08 14:40:43 +0000 2021,0";;
"1402274393175253001,""RT @JornalDaCidadeO: Quando a hipocrisia começa a ser castigada...";;
;;
"https://t.co/7drLIyzMdz"",Tue Jun 08 14:40:42 +0000 2021,17";;
"1402274391740792847,""RT @fiscaldoibama: Olha só:";;
"O prefeito de São Paulo, do MDB, botou na prefeitura o cara q planejou como seria o desmonte da área ambiental…"",Tue Jun 08 14:40:42 +0000 2021,150";;
"1402274391573123076,""RT @BrazilFight: URGENTE -O RELATÓRIO QUE O TCU DIZ NÃO EXISTIR";;
"O TCU acabou de afirmar que o relatório abaixo, divulgado pelas redes socia…"",Tue Jun 08 14:40:42 +0000 2021,1140";;
1402274389073203213,RT @bolsonaroverso: o joelho da mina parece o bolsonaro https://t.co/21E2rAlrQh,Tue Jun 08 14:40:42 +0000 2021,2728;;
"1402274388947476480,""Sabem pq Bolsonaro busca proteger Marcelo Crivella? Pq sabe que na disputa entre ele e o outro, o outro também quer… https://t.co/llsXVfkBlk"",Tue Jun 08 14:40:41 +0000 2021,0";;
1402274388502794249,RT @bolsonaroverso: o joelho da mina parece o bolsonaro https://t.co/21E2rAlrQh,Tue Jun 08 14:40:41 +0000 2021,2724;;
"1402274387731099658,""RT @desmentindobozo: O presidente Jair Bolsonaro tentou se \""desculpar\"" pela MENTIRA de ontem sobre o relatório do TCU e o que ele fez? MENT…"",Tue Jun 08 14:40:41 +0000 2021,478";;
"1402274386875490304,""\""A própria traição em pessoa\"" Ciro Gomes definiu com exatidão o que Bolsonaro representa como presidente para o Bra… https://t.co/4tSsh2HJXe"",Tue Jun 08 14:40:41 +0000 2021,0";;
"1402274386460266516,""RT @desmentindobozo: A mentira sobre o relatório do TCU em 7 atos:";;
;;
#NOME?;;
#NOME?;;
"- Porta…"",Tue Jun 08 14:40:41 +0000 2021,1435";;
"1402274386065989646,""RT @jornalodia: Nesta terça-feira, o presidente assumiu que errou ao atribuir ao TCU uma tabela que supostamente atestaria uma supernotific…"",Tue Jun 08 14:40:41 +0000 2021,1";;
"1402274384660795394,""RT @xicosa: PF vincula primeira-dama e \""gabinete do ódio\"" com contas inautênticas https://t.co/OY7tsIg3sX via @UOLNoticias @UOL"",Tue Jun 08 14:40:40 +0000 2021,136";;
"1402274383771672586,""RT @desmentindobozo: O presidente Jair Bolsonaro tentou se \""desculpar\"" pela MENTIRA de ontem sobre o relatório do TCU e o que ele fez? MENT…"",Tue Jun 08 14:40:40 +0000 2021,478";;
"1402274383679340554,""Assessores do \""gabinete do ódio\"" admitem atuar na comunicação do governo https://t.co/sYINJqaVRT via @UOLNoticias @UOL"",Tue Jun 08 14:40:40 +0000 2021,0";;
"1402274383138328581,""@IrisSilvaSevla @marcosbretasFla @BlogdoNoblat Outra o desemprego  é  culpa dos seus governadores  ok ";;
"Que fechou… https://t.co/TmWkE39seP"",Tue Jun 08 14:40:40 +0000 2021,0";;
"1402274381779374082,""RT @cynaramenezes: bolsonaro não \""errou\"" em relação ao relatório do TCU que nunca existiu.";;
"ele jogou o vídeo no ar para criar a narrativa,…"",Tue Jun 08 14:40:40 +0000 2021,34";;
1402274381699727369,@patriota_4 @OtoniDepFederal Carlos Bolsonaro é tão burro que comete crime usa usando a internet de propria casa que mora kkkkkkkkkkkkkkkkk,Tue Jun 08 14:40:40 +0000 2021,0;;
"1402274381640916997,""RT @UursoB: *URGENTE: PRESIDENTE BOLSONARO ASSINA DECRETO QUE QUEBRA SIGILO DAS MOVIMENTAÇÕES DE DINHEIRO PÚBLICO...*";;
"*A GUERRA ESTÁ DECLAR…"",Tue Jun 08 14:40:40 +0000 2021,828";;
"1402274381368377356,""RT @CanaldoFalcao1: Renan Calheiros para ministro da saúde  : \"" Por que o presidente Bolsonaro não usa máscara? Você não o orienta?\""";;
"E repe…"",Tue Jun 08 14:40:40 +0000 2021,24";;
