Texto,Contagem de RT's,ID,Criado em,Link
Apenas mais um eleitor do Bolsonaro andando pelas ruas da cidade https://t.co/oo33Glr7JM,0,1400845078885712000,Fri Jun 04 16:01:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"BOLSONARO É NORTE
BOLSONARO É NORDESTE
VAI 17
VAI 17 https://t.co/4jKzed0xKd",0,1400845049135575000,Fri Jun 04 16:01:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
E daí que presidente Bolsonaro ficou 53 dias sem responder a Pizer? Engraçado que ninguém critica o presidente SOCI… https://t.co/wIxBgwTZIx,0,1400845117381136000,Fri Jun 04 16:01:17 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Escolha as suas batalhas! Pegue tudo que a esquerda fez de bom para o avanço do nosso país e impulsione isso! Comen… https://t.co/e6P90tQp5Y,0,1400845045587190000,Fri Jun 04 16:00:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"Forças Armadas e PMs viraram partido ad hoc de Bolsonaro, adverte coronel Marcelo Pimentel https://t.co/U1jB3NDD1l",0,1400845098800329000,Fri Jun 04 16:01:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"Galera falando de lula em pleno século 2021.

Eu realmente não sabia que só existem duas opções de voto para os bra… https://t.co/la9KqnaqnO",0,1400845074574070000,Fri Jun 04 16:01:06 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"Jair Bolsonaro rompe o silêncio e sai em defesa de Nise Yamaguchi: ""Foi uma covardia"" (veja o vídeo) https://t.co/7WjsZUGG30",0,1400845044098253000,Fri Jun 04 16:00:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"Mais um ""crime"" do Governo Bolsonaro: assessorar-se de especialistas em saúde. https://t.co/CCIOfv9bdt",0,1400845094530527000,Fri Jun 04 16:01:11 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
mlk o povo devia agradecer quem vota nulo por não votar no bolsonaro pq a maioria tá isso aqui 🤏🏼,0,1400845107096699000,Fri Jun 04 16:01:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"Não vamos esquecer jamais !
Bolsonaro não é o Dono do Brasil ; acima dele está o poder maior, a população brasileir… https://t.co/d8dapmQpzG",0,1400845049211068000,Fri Jun 04 16:01:00 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
No governo Bolsonaro #OBrasilEstaEmComa com nosso povo doente e sem comida. Mas estamos na luta por @LulaOficial e… https://t.co/qQjY1qO1yP,0,1400845046098838000,Fri Jun 04 16:01:00 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"📰 A VERDADE | ""Mais de 500 mil pessoas vão às ruas pelo “Fora Bolsonaro”""

🔗 https://t.co/wBtMQKjXxt

📣 #panfleterobot #news #bot",0,1400845114847674000,Fri Jun 04 16:01:16 +0000 2021,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">PanfleteroBot</a>"
